,mtn_name,region_group_key,mtn_range,subrange,latitude,longitude
0,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925
1,k2,1,greater_himalaya,karakoram,35.88139,76.51333
2,kangchenjunga,2,greater_himalaya,sikkim-eastern_nepal_himalaya,27.70222,88.1475
3,lhotse,3,greater_himalaya,sikkim-eastern_nepal_himalaya,27.9625,86.93333
4,makalu,3,greater_himalaya,central_nepal_himalaya,27.89194,87.08861
5,cho_oyu,3,greater_himalaya,central_nepal_himalaya,28.09583,86.65917
6,dhaulagiri,4,greater_himalaya,western_nepal_himalaya,28.69806,83.4875
7,manaslu,4,greater_himalaya,central_nepal_himalaya,28.55194,84.55667
8,nanga_parbat,5,greater_himalaya,punjab_himalaya,35.2372,74.5889
9,annapurna,4,greater_himalaya,central_nepal_himalaya,28.61361,83.87139
10,gasherbrum,1,greater_himalaya,karakoram,35.72417,76.69611
11,broad_peak,1,greater_himalaya,karakoram,35.81306,76.56528
12,gasherbrum_ii,1,greater_himalaya,karakoram,35.75917,76.64194
13,shisha_pangma,6,greater_himalaya,central_nepal_himalaya,28.35306,85.77889
14,mount_mckinley,7,yukon_ranges,alaska_range,63.06889,-151.00694
15,mont_blanc,8,alps,savoy_alps,45.8325,6.865
16,vinson_massif,9,antarctica_ranges,ellsworth_mountains,-78.63389,-85.22528
17,mount_washington_2,10,appalachians,white_mountains,44.27,71.30306
18,flattop,8,yukon_ranges,chugach_mountains,61.08972,149.66889
19,mount_whitney,11,sierra_nevada,,36.57833,-118.29222
20,mount_mitchell,12,appalachians,blue_ridge_mountains,35.765,-82.26528