,mtn_name,elevation,elevation_rank,prominence,prominence_rank,isolation,isolation_rank
0,mount_everest,8849,1,8849,1,,
1,k2,8611,2,4020,22,1316,56
2,kangchenjunga,8586,3,3922,29,124,
3,lhotse,8516,4,610,,2.7,
4,makalu,8485,5,2386,,17,
5,cho_oyu,8188,6,2340,,29,
6,dhaulagiri,8167,7,3357,55,318,
7,manaslu,8163,8,3092,80,106,
8,nanga_parbat,8126,9,4608,14,189,
9,annapurna,8091,10,2984,94,34,
10,gasherbrum,8080,11,2155,,24,
11,broad_peak,8051,12,1701,,9.1,
12,gasherbrum_ii,8035,13,1524,,5.3,
13,shisha_pangma,8027,14,2897,111,91,
14,ama_dablam,6812,,1041,,,
15,imja_tse,6165,,475,,,
16,mount_mckinley,6190,,6155,3,7436,3
17,mont_blanc,4806,,4696,11,2812,13
18,vinson_massif,4892,,4892,8,4911,6
19,mount_washington_2,1917,,1874,,1319,54
20,flattop,1070,,63,,3.7,
21,mount_whitney,4421,,3071,81,2651,18
22,mount_mitchell,2037,,1856,,1914,31